,min,max,shape,spacing
86_86_0_brain_t1c.nii.gz,0.0,4168.77783203125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
114_114_0_brain_t1c.nii.gz,0.0,4195.81298828125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
213_213_0_brain_t1c.nii.gz,0.0,4271.6884765625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
384_384_0_brain_t1c.nii.gz,0.0,4341.498046875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
129_129_0_brain_t1c.nii.gz,0.0,4342.33203125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
89_89_0_brain_t1c.nii.gz,0.0,4351.37548828125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
74_74_0_brain_t1c.nii.gz,0.0,4380.5400390625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
1_1_0_brain_t1c.nii.gz,0.0,4435.19970703125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
75_75_0_brain_t1c.nii.gz,0.0,4466.18896484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
215_215_0_brain_t1c.nii.gz,0.0,4487.33056640625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
374_374_0_brain_t1c.nii.gz,0.0,4612.4384765625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
87_87_0_brain_t1c.nii.gz,0.0,4635.09716796875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
92_92_0_brain_t1c.nii.gz,0.0,4731.783203125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
208_208_0_brain_t1c.nii.gz,0.0,4767.97900390625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
360_360_0_brain_t1c.nii.gz,0.0,4787.5458984375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
90_90_0_brain_t1c.nii.gz,0.0,4818.3017578125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
210_210_0_brain_t1c.nii.gz,0.0,4977.8349609375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
115_115_0_brain_t1c.nii.gz,0.0,5037.2197265625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
224_224_0_brain_t1c.nii.gz,0.0,5050.48388671875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
216_216_0_brain_t1c.nii.gz,0.0,5056.11181640625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
134_134_0_brain_t1c.nii.gz,0.0,5221.26123046875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
376_376_0_brain_t1c.nii.gz,0.0,5274.50341796875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
228_228_0_brain_t1c.nii.gz,0.0,5477.98583984375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
410_410_0_brain_t1c.nii.gz,0.0,5826.67626953125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
361_361_0_brain_t1c.nii.gz,0.0,6464.90380859375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
110_110_0_brain_t1c.nii.gz,0.0,6757.81982421875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
9_9_0_brain_t1c.nii.gz,0.0,9100.8134765625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
420_420_0_brain_t1c.nii.gz,0.0,9788.662109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
373_373_0_brain_t1c.nii.gz,0.0,13989.65234375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
